5.595,24.227,22.755,23.188,22.348,20.808,21.169
5.701,24.214,22.756,23.015,22.524,21.225,21.130
5.809,24.211,22.748,22.891,22.553,21.258,21.033
5.915,24.214,22.734,22.812,22.518,21.133,20.917
6.022,24.221,22.717,22.773,22.471,20.987,20.807
6.129,24.227,22.700,22.765,22.438,20.889,20.718
6.236,24.232,22.686,22.779,22.430,20.862,20.655
6.342,24.233,22.676,22.806,22.446,20.905,20.623
6.449,24.230,22.669,22.837,22.482,20.998,20.617
6.556,24.223,22.668,22.866,22.528,21.118,20.635
6.663,24.213,22.671,22.889,22.578,21.241,20.670
6.769,24.200,22.677,22.903,22.623,21.346,20.718
6.898,24.187,22.688,22.907,22.658,21.418,20.771
7.006,24.174,22.700,22.900,22.680,21.449,20.826
7.112,24.163,22.714,22.885,22.687,21.438,20.878
7.219,24.155,22.728,22.863,22.681,21.388,20.923
7.326,24.151,22.742,22.838,22.664,21.309,20.961
7.433,24.151,22.755,22.811,22.639,21.209,20.989
7.539,24.155,22.765,22.786,22.610,21.102,21.008
7.646,24.163,22.774,22.764,22.580,20.998,21.019
7.753,24.174,22.780,22.749,22.553,20.907,21.022
7.860,24.188,22.784,22.741,22.532,20.838,21.018
7.966,24.203,22.785,22.740,22.518,20.796,21.011
8.073,24.217,22.783,22.747,22.512,20.781,21.000
8.184,24.229,22.780,22.761,22.514,20.794,20.989
8.291,24.239,22.776,22.781,22.522,20.829,20.978
8.397,24.244,22.771,22.810,22.539,20.860,20.957
8.504,24.244,22.767,22.839,22.535,20.912,20.978
8.611,24.239,22.764,22.854,22.562,21.038,20.948
8.718,24.230,22.762,22.881,22.570,21.063,20.909
8.824,24.218,22.758,22.910,22.600,21.066,21.001
8.932,24.203,22.747,22.900,22.597,21.065,21.005
9.038,24.188,22.724,22.895,22.544,21.055,20.932
9.145,24.174,22.731,22.889,22.571,21.033,20.853
9.251,24.163,22.732,22.883,22.564,21.115,20.909
9.359,24.157,22.728,22.889,22.543,21.063,20.906
9.469,24.156,22.754,22.868,22.546,21.025,20.868
9.576,24.160,22.776,22.868,22.530,20.983,20.801
9.682,24.168,22.762,22.838,22.490,20.942,20.771
9.790,24.177,22.758,22.821,22.465,20.973,20.783
9.896,24.191,22.753,22.811,22.399,20.908,20.788
10.003,24.163,22.733,22.815,22.481,20.860,20.818
10.110,24.180,22.742,22.850,22.499,20.996,20.869
10.217,24.194,22.743,22.834,22.454,21.064,20.906
10.323,24.211,22.749,22.843,22.424,21.054,20.936
10.430,24.225,22.770,22.851,22.376,21.056,20.926
10.537,24.235,22.760,22.865,22.407,21.002,20.952
10.644,24.240,22.759,22.848,22.429,20.935,20.990
10.755,24.241,22.756,22.850,22.496,21.069,20.919
10.862,24.236,22.751,22.868,22.554,21.148,20.807
10.969,24.229,22.747,22.901,22.635,21.199,20.718
11.075,24.220,22.742,22.909,22.728,21.229,20.646
11.183,24.221,22.738,22.895,22.793,21.262,20.587
11.289,24.196,22.734,22.901,22.828,21.305,20.509
11.396,24.189,22.732,22.874,22.807,21.383,20.437
11.502,24.194,22.731,22.850,22.787,21.392,20.392
11.610,24.206,22.732,22.820,22.764,21.430,20.382
11.716,24.222,22.734,22.799,22.711,21.412,20.369
11.823,24.239,22.737,22.758,22.656,21.399,20.444
11.930,24.265,22.741,22.764,22.578,21.397,20.507
12.041,24.269,22.756,22.734,22.490,21.199,20.638
12.147,24.251,22.743,22.754,22.394,21.152,20.648
12.255,24.238,22.746,22.758,22.280,21.128,20.566
12.361,24.261,22.756,22.778,22.224,21.001,20.657
12.468,24.284,22.766,22.810,22.235,21.028,20.716
12.575,24.283,22.775,22.817,22.248,21.013,20.797
12.682,24.275,22.779,22.843,22.264,20.993,20.829
12.788,24.265,22.779,22.888,22.303,20.992,20.846
12.895,24.258,22.775,22.911,22.349,20.940,20.786
13.002,24.254,22.768,22.908,22.398,20.965,20.747
13.109,24.253,22.759,22.920,22.455,20.990,20.705
13.215,24.244,22.750,22.916,22.526,20.995,20.521
13.327,24.264,22.741,22.899,22.559,21.210,20.506
13.433,24.257,22.734,22.932,22.634,20.923,20.509
13.540,24.271,22.731,22.885,22.657,20.926,20.526
13.647,24.268,22.730,22.880,22.687,21.065,20.597
13.754,24.259,22.734,22.907,22.690,21.228,20.671
13.860,24.242,22.742,22.875,22.668,21.383,20.786
13.968,24.260,22.763,22.863,22.662,21.553,20.871
14.074,24.271,22.759,22.871,22.634,21.614,20.923
14.181,24.283,22.772,22.863,22.597,21.624,21.147
14.287,24.301,22.792,22.842,22.563,21.584,21.130
14.395,24.325,22.811,22.838,22.530,21.466,21.187
14.501,24.354,22.822,22.838,22.540,21.439,21.088
14.612,24.387,22.820,22.852,22.550,21.367,21.203
14.720,24.411,22.798,22.840,22.552,21.371,21.251
14.826,24.452,22.806,22.836,22.624,21.319,21.258
14.932,24.504,22.825,22.869,22.676,21.403,21.226
15.040,24.531,22.786,22.891,22.696,21.480,21.192
15.147,24.552,22.771,22.906,22.699,21.535,21.151
15.253,24.583,22.772,22.918,22.593,21.591,21.113
15.361,24.584,22.749,22.935,22.633,21.793,21.081
15.467,24.593,22.744,22.965,22.670,21.685,21.114
15.574,24.601,22.746,22.966,22.671,21.844,21.094
15.680,24.608,22.760,22.980,22.685,22.038,21.065
15.788,24.613,22.747,23.006,22.666,22.322,20.971
15.898,24.613,22.749,23.058,22.667,22.457,20.989
16.005,24.610,22.758,23.046,22.657,22.429,21.034
16.112,24.604,22.768,23.046,22.635,22.382,21.068
16.219,24.597,22.779,23.040,22.633,22.211,21.070
16.325,24.591,22.787,23.031,22.651,22.094,21.080
16.433,24.593,22.794,23.027,22.659,21.877,21.147
16.539,24.611,22.799,22.985,22.667,21.525,21.133
